Response_ID,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_2SwuehLDrVgW6Gn,Permanent,Yes,12,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2rZNcxM8FHIUgwS,Seasonal OR temporary,Yes,2,Very satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Somewhat agree,Yes,Agree nor disagree,1
R_78LkSBuNsodS2Z3,Permanent,No,24,Somewhat Satisfied,No,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,1
R_1kM23e7THzeHihL,Permanent,Yes,8,Very satisfied,Yes,Yes,Neither good or bad,Somewhat agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_2qDADBLWMVe6ro0,Seasonal OR temporary,Yes,23,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Refused,1
R_1dczTEUX5awP6g4,Seasonal OR temporary,Yes,6,Somewhat Satisfied,Yes,No,Neither good or bad,Somewhat agree,No,Agree nor disagree,Yes,Strongly disagree,1
R_R3xvAjNtJ3yexsl,Permanent,Yes,27,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_30isOmiW6uxmyK8,Permanent,Yes,35,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3PyI1oJ0cknwcsS,Permanent,Yes,48,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_WkeRUJiJm9aEkwx,Permanent,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_A1LtjjeVmi4iUh3,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1PcPF1wf7XOaz43,Seasonal OR temporary,Yes,1,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3PRCQFEjnNloJok,Permanent,Yes,8,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3Jen2HsU9b16P5P,Permanent,Yes,60,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3n7d8O9jhmGrSyO,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_29hKHWAot2uwVEd,Permanent,Yes,60,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_uqg3Xj0QRBOEVJD,Permanent,Yes,1,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
