Response ID,gender_core,age_core,entity_tenure - Months,conditions_rate_core,safety_core,pressure_to_work_core,factory_recommend_tf_core
R_aGXmZ5GxRRBI8TT,1,45,2,3,5,1,1
R_5mWMr42kDSUIF64,1,22,11,4,5,1,1
R_5Mewh60l6jmPjIN,1,22,19,5,4,1,1
R_bjUSdyRx7ip4fby,1,34,36,5,5,1,1
R_cEPKVDBxd2Ntesd,1,45,48,3,5,1,1
R_hrSIc9FdicdN9r8,1,20,1,5,5,1,1
R_0ftYY1YAshMnfkK,1,22,12,5,5,1,1
R_bQmutrvuZy3v4q2,1,29,27,3,5,1,1
R_2I2txJ4y79Q5q2N,1,42,264,5,5,1,1
R_6pZOjWkY4VQpbfu,1,20,1,5,5,1,1
R_47xLIgSn5GmQjYg,1,45,45,4,5,1,1
R_cjWrrHQsmj3t159,1,47,72,4,5,1,1
R_6z9m1WTgUf1FdCD,1,24,19,5,5,1,1
R_eiVU4jOGsJ6fP8Q,0,28,4,4,4,1,1
R_ePCNLDHgIQ1MuuV,1,44,6,5,5,1,1
R_3vBd3UTdmBo1xFw,0,49,312,5,5,4,1
R_o34Z0BIfdHaVUBD,0,36,96,4,4,2,1
R_7iHl9WErJc1DDci,0,53,300,4,4,1,1
R_8BX1Vkuna2oc52i,0,29,60,4,5,1,1
R_bThsxExpfVtpYGt,0,24,1,3,2,1,0
R_oqUNHrAAcZqS8XU,0,48,300,4,5,1,1
R_dBePxhcXJQyPNYw,0,47,144,5,5,1,1
R_gNwcIdKFFvNtuSj,0,19,11,5,5,1,1
R_mgl73ck9grVmJtp,0,39,36,5,5,1,1
R_33Jt2waRJMWepW2,1,36,5,3,2,1,1
R_9GYJwGdAWhJooBc,1,43,60,3,4,1,1
R_1IbYOxXRPfkWdGo,0,42,312,3,1,4,1
R_2cvj3tlanwnhk7n,1,23,3,4,5,4,1
R_6qVabyHrsFnw6kY,0,22,1,5,5,1,1
R_chWjeYSa26KBzW2,1,25,36,3,3,5,0
R_fgq8xkOnVL8KJIx,0,30,24,3,4,2,1
R_a2d585yzcYQk8e9,0,44,48,5,5,1,1
R_o5rZNsccaFm9K3k,1,39,108,3,5,1,1
R_1UCxL7Vc4rSdccn,0,19,12,5,4,1,1
R_5XM62XN8JRia4c0,1,40,264,4,4,1,1
R_23TuPM46FBfN7RR,1,45,4,4,4,4,1
R_57pnZ6cellN88xs,1,24,4,5,5,5,1
R_7V9VCr4zF7nJSG3,1,20,3,5,5,,1
R_0B81T8V6DoWjug1,1,25,1,5,5,5,1
R_bQKnG7Y5asnWfKC,1,26,15,5,5,,1
R_flmGFKI5CqCcF88,1,31,1,4,5,,1
R_1yOfK2ZiuypSavL,1,20,2,5,5,,1
R_4EsdFoFFcIFUlE2,1,22,3,5,5,,1
R_6NUEmveM613eLPj,1,20,24,5,5,5,1
R_5SgAW2LYGJrs0UB,1,25,3,5,5,5,1
R_kUyaHjOz1R89I19,1,19,3,5,5,,1
R_g0FcszwtA6Wjwdc,1,45,3,5,5,5,1
R_hbVeBOH47vX6yqI,1,18,5,5,5,5,1
R_k9sLMm1djFdTYKq,1,25,48,5,5,5,1
R_7BzXIvrqaGn42CX,1,35,1,5,5,,1
R_ipOn2AycqdALk03,1,19,3,5,5,5,1
R_eDeqqazb6q5qkn6,1,33,3,5,5,5,1
R_nkSUcHtLz4mtdj8,1,45,2,5,5,5,1
R_8LAeIVudGTU6uod,1,25,3,5,5,5,1
R_hhAkEx79kGROuEM,1,25,3,5,5,5,1
R_hD0ul8nq0oYQmT0,1,35,3,5,5,5,1
R_kwEeAXcSA3BEelG,1,22,2,5,5,,1
R_bIGw72kPfIX4Bw0,1,33,1,5,5,5,1
R_5GNRfYQP7SHfRBg,1,26,2,5,5,5,1
R_0w9EBGgie27jsB0,1,30,2,5,5,5,1
R_lY3UjicwyHMlHUy,1,24,2,5,5,5,1
R_ipq7CNy7mWNVdVt,1,33,3,5,5,5,1
R_1nUJ2owzoyNArfJ,1,28,3,5,5,5,1
R_mTpzLE1wFbXgfXN,1,38,2,5,5,5,1
R_6fJrSQpR7MXLcxS,1,27,1,5,5,5,1
R_bBlsRsaRHdilRji,1,20,3,5,5,5,1
R_07uYuyLAcMIQiYt,1,19,1,5,5,,1
R_1N3RDAm7hKZFy7s,1,17,1,5,5,,1
R_441uxzluOvsxcPc,0,23,3,3,5,,1
R_iNagmVHlb542Ko9,0,26,1,5,5,,1
R_hR9lblBo9KsbPox,1,19,36,5,4,,1
R_eLZccFX1CVkV0mm,1,24,5,5,5,1,1
R_5WqKOH9gk33KDSV,1,30,1,5,5,4,1
R_dA0mccAnebELq89,1,26,3,5,5,,1
R_mUD2BCsmiPqN57f,1,22,3,5,5,,1
R_27fTIotbJAX8ZnC,1,24,2,5,5,4,1
R_6s1FONcbt75hpjC,1,23,1,5,5,,1
R_evpQrsKmhzo8LS7,1,27,3,5,5,,1
R_3NeXV5zt9tlRruG,1,23,3,5,5,,1
R_2yJAEcm3Jmoowvk,1,22,2,5,5,,1
R_gSxGOaEsikgVHfz,1,25,3,5,5,,1
