Response_ID,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,return_next_season_core,factory_recommend_tf_score
R_7iHl9WErJc1DDci,Somewhat Satisfied,No,No,Somewhat good,Yes,1
R_8BX1Vkuna2oc52i,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_bThsxExpfVtpYGt,Somewhat Satisfied,Yes,No,Neither good or bad,No,0
R_oqUNHrAAcZqS8XU,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_dBePxhcXJQyPNYw,Very satisfied,Yes,No,Very good,Yes,1
R_gNwcIdKFFvNtuSj,Very satisfied,Yes,Yes,Very good,Yes,1
R_mgl73ck9grVmJtp,Very satisfied,No,Yes,Very good,Yes,1
R_33Jt2waRJMWepW2,Somewhat dissatisfied,Refused,No,Neither good or bad,No,0
R_9GYJwGdAWhJooBc,Somewhat Satisfied,No,No,Neither good or bad,Yes,1
R_1IbYOxXRPfkWdGo,Somewhat dissatisfied,No,No,Neither good or bad,Yes,0
R_2cvj3tlanwnhk7n,Very satisfied,Yes,No,Somewhat good,Yes,1
R_6qVabyHrsFnw6kY,Very satisfied,Yes,No,Very good,Yes,1
