Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,management_complaint_treatment_core,leadership_feedback_core,factory_recommend_tf_score
R_Ahtd32nJFpk07uN,Man,52,Elementary School,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,No,No,0
R_DJlarxyehOlSwyl,Woman,32,Middle School,Seasonal OR temporary,Yes,12,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1guTwTsg9llcClH,Man,24,Middle School,Permanent,Don't know,24,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_Zk4TG36ArjqpK25,Man,35,Middle School,Permanent,No,132,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_1gpSJIOfHPYySST,Man,27,Middle School,Permanent,Yes,109,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_bkYsu6oNOZVoc8x,Man,47,Elementary School,Permanent,Yes,48,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Somewhat agree,Yes,Somewhat disagree,Yes,No,1
R_AaDYWxdX0FWnIPv,Woman,24,Middle School,Permanent,Yes,8,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
R_1OjfTkFvcNhNpiQ,Woman,26,Middle School,Permanent,Yes,46,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1d05Xc1FDHIW0BT,Woman,31,Elementary School,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3JlxDHmZVDhmKwZ,Man,37,Middle School,Permanent,Yes,171,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2XhpIpEDlY0bndU,Woman,24,Middle School,Permanent,Yes,24,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,No,Strongly disagree,"Maybe, depending on the topic",No,0
R_9ylDxTVmcZIfSwN,Woman,26,Middle School,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1PbeaO2DUsC2gXY,Man,19,High School,Permanent,Yes,7,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3nVmbM2bazwda6W,Woman,30,Middle School,Permanent,Yes,24,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
